,idno,author,title,year,supergenre,genre,subgenre,subsubgenre,narration,availability,decade
rf1007,rf1007,Boisgobey,Opera2,1889,narrative,novel,policier,Detektivroman,heterodiegetic,publicdomain,1880s
rf0059,rf0059,Zola,Nana,1885,narrative,novel,blanche,Gesellschaftsroman,heterodiegetic,publicdomain,1880s
rf0061,rf0061,Zola,VentreParis,1873,narrative,novel,blanche,Gesellschaftsroman,heterodiegetic,publicdomain,1870s
rf1023,rf1023,Gaboriau,CliqueDoree1,1871,narrative,novel,blanche,Gesellschaftsroman,heterodiegetic,publicdomain,1870s
rf0058,rf0058,Zola,Germinal,1885,narrative,novel,blanche,Gesellschaftsroman,heterodiegetic,publicdomain,1880s
rf0055,rf0055,Maupassant,PierreJean,1888,narrative,novel,blanche,Bildungsroman,heterodiegetic,publicdomain,1880s
rf0053,rf0053,Maupassant,FortMort,1889,narrative,novel,blanche,Gesellschaftsroman,heterodiegetic,publicdomain,1880s
rf1021,rf1021,Gaboriau,Argent1,1874,narrative,novel,policier,Kriminalroman,heterodiegetic,publicdomain,1870s
rf1024,rf1024,Gaboriau,CliqueDoree2,1871,narrative,novel,blanche,Gesellschaftsroman,heterodiegetic,publicdomain,1870s
rf0057,rf0057,Zola,BeteHumaine,1890,narrative,novel,blanche,Gesellschaftsroman,heterodiegetic,publicdomain,1890s
rf1005,rf1005,Boisgobey,Omnibus,1881,narrative,novel,policier,Detektivroman,heterodiegetic,publicdomain,1880s
rf1008,rf1008,Boisgobey,Voilette,1885,narrative,novel,policier,Kriminalroman,heterodiegetic,publicdomain,1880s
rf1020,rf1020,Gaboriau,Lerouge,1865,narrative,novel,policier,Detektivroman,heterodiegetic,publicdomain,1860s
rf0054,rf0054,Maupassant,MontOriol,1887,narrative,novel,blanche,Gesellschaftsroman,heterodiegetic,publicdomain,1880s
rf0056,rf0056,Maupassant,UneVie,1883,narrative,novel,blanche,Bildungsroman,heterodiegetic,publicdomain,1880s
rf1006,rf1006,Boisgobey,Opera1,1889,narrative,novel,policier,Detektivroman,heterodiegetic,publicdomain,1880s
rf1022,rf1022,Gaboriau,Argent2,1874,narrative,novel,policier,Kriminalroman,heterodiegetic,publicdomain,1870s
rf0060,rf0060,Zola,Oeuvre,1886,narrative,novel,blanche,KÃ¼nstlerroman,heterodiegetic,publicdomain,1880s
rf0052,rf0052,Maupassant,BelAmi,1885,narrative,novel,blanche,Gesellschaftsroman,heterodiegetic,publicdomain,1880s
rf1009,rf1009,Boisgobey,Chat2,1888,narrative,novel,policier,Detektivroman,heterodiegetic,publicdomain,1880s
